# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
HD 189733 b,1.142,1.138,1.138,2.21857312,0.03142,0.0041,85.51,0.001628,90,,,,0.4,,HD 189733,300.1791667,22.7108333,7.67,,,,,19.3,-0.03,0.8,0.805,K1-K2,0.6,4875,,Yes
HD 190228 b,65.7,,0,1146,2,0.5,4.5,0.030253,107,,,,0,,HD 190228,300.75,28.3066667,7.3,,,,,66.11,-0.24,1.3,3.02,G5IV,10.16,5176,,
HD 190360 b,1.495,1.495,0,2867.9,3.92,0.343,,,14.7,,,,0,,HD 190360,300.9041667,29.8966667,5.71,,,,,15.89,0.24,1.04,1.2,G6 IV,12.11,5588,,
HD 190360 c,0.06381,0.06381,0,17.1186,0.128,0.107,,,305.8,,,,0,,HD 190360,300.9041667,29.8966667,5.71,,,,,15.89,0.24,1.04,1.2,G6 IV,12.11,5588,,
HD 192263 b,0.733,0.733,0,24.3587,0.15312,0.008,,0.007694,184,,,,0,,HD 192263,303.5,-0.8669444,7.79,,,,,19.9,-0.2,0.81,0.75,K2 V,0.57,4965,IR Excess,
HD 192699 b,2.5,2.5,0,351.5,1.16,0.149,,0.017313,54,,,,0,,HD 192699,304.025,4.5808333,6.44,,,,,67,-0.15,1.68,4.25,G8IV,1.8,5220,,
HD 195019 b,3.7,3.7,0,18.20163,0.1388,0.014,,0.003715,322,,,,0,,HD 195019,307.0708333,18.77,6.91,,,,,37.36,0.08,1.06,1.38,G3 IV-V,5.33,5787,,
HD 196050 b,2.83,2.83,0,1316.24,2.47,0.21,,0.052665,223,,,,0,,HD 196050,309.4625,-60.6344444,7.5,,,,,46.9,0.23,1.17,1.29,G3 V,3.17,5874,,
HD 196885 A b,2.98,2.98,0,1326,2.6,0.48,,0.078788,93.2,,,,0,,HD 196885 A,309.9625,11.2494444,6.4,,,,,33,0.29,1.33,1.79,F8V,2,6340,,
HD 19994 b,1.68,1.68,0,535.7,1.42,0.3,,0.06345,41,,,,0,,HD 19994,48.1916667,-1.1958333,5.07,,,,,22.38,0.25,1.34,1.93,F8 V,8.91,5984,IR Excess,
HD 200964 b,1.85,1.85,0,613.8,1.601,0.04,,0.023406,288,,,,0,,HD 200964,316.6666667,3.8030556,6.64,,,,,68.4,-0.15,1.44,4.3,KO,3,5164,,
HD 200964 c,0.895,0.895,0,825,1.95,0.181,,0.028509,182.6,,,,0,,HD 200964,316.6666667,3.8030556,6.64,,,,,68.4,-0.15,1.44,4.3,KO,3,5164,,
HD 202206 B,93.6,17.7,0,256.33,0.83,0.432,10.9,0.017911,161.9,,,,0,,HD 202206,318.7375,-20.7891667,8.08,,,,,46.34,0.37,1.13,1.02,G6 V,2.04,5750,IR Excess,
HD 202206 c,17.9,,0,1260,2.41,0.22,7.7,0.055028,280,,,,0,,HD 202206,318.7375,-20.7891667,8.08,,,,,46.34,0.37,1.13,1.02,G6 V,2.04,5750,IR Excess,
HD 20367 b,1.07,1.07,0,500,1.25,0.23,,0.046296,83,,,,0,,HD 20367,49.4166667,31.1269444,6.41,,,,,27,0.1,1.04,1.18,G0,0.87,6128,,
HD 2039 b,6.11,6.11,0,1120,2.23,0.67,,0.024499,344.1,,,,0,,HD 2039,6.0833333,-56.65,9.01,,,,,89.8,0.1,0.98,1.21,G2/G3 IV-V,5.28,5947,,
HD 204941 b,0.266,0.266,0,1733,2.56,0.37,,0.094815,228,,,,0,,HD 204941,323.1,-20.9575,8.45,,,,,27,-0.19,0.74,0.72,,6.67,5056,,
HD 205739 b,1.37,1.37,0,279.8,0.896,0.27,,0.009922,301,,,,0,,HD 205739,324.5333333,-31.7375,8.56,,7.59,7.35,7.23,90.3,0.19,1.22,1.33,F7V,2.84,6176,,
HD 206610 b,2.2,2.2,0,610,1.68,0.229,,0.00866,296,,,,0,,HD 206610,325.8541667,-7.4083333,8.34,,,,,194,0.14,1.56,6.1,K0,3,4874,,
HD 207832 b,0.56,0.56,0,161.97,0.57,0.13,,,130.8,,,,0,,HD 207832,328.15,-26.0267,8.7986,,,,,54.4,0.06,0.94,0.901,G5V,4.5,5710,,
HD 207832 c,0.73,0.73,0,1155.7,2.112,0.27,,,121.6,,,,0,,HD 207832,328.15,-26.0267,8.7986,,,,,54.4,0.06,0.94,0.901,G5V,4.5,5710,,
HD 20794 b,0.00887,0.00887,0,18.33,0.127,0.27,,0.019917,26,,,,0,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,-0.38,0.813,0.9,G8V,14,5490,IR Excess,
HD 20794 d,0.0111,0.0111,0,88.9,0.364,0.25,,0.057739,252,,,,0,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,-0.38,0.813,0.9,G8V,14,5490,IR Excess,
HD 20794 e,0.015,0.015,0,147.02,0.509,0.29,,,268,,,,0,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,-0.38,0.813,0.9,G8V,14,5490,IR Excess,
HD 208487 b,0.413,0.413,0,129.8,0.51,0.21,,0.011333,123,,,,0,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45,-0.06,1.3,1.15,G2V,3.88,5929,,
HD 208527 b,9.9,9.9,0,875.5,2.1,0.08,,,278,,,,0,,HD 208527,329.1,21.24,6.4,,,,,320.2,-0.09,1.6,51.1,M1III,2,4035,,
HD 20868 b,1.99,1.99,0,380.85,0.947,0.75,,0.019366,356.2,,,,0,,HD 20868,50.1791667,-33.73,9.92,,,,,48.9,0.04,0.78,0.79,K3/4IV,4.5,4795,,
HD 209458 b,0.69,,1.38,3.52472,0.04747,0.0082,86.59,0.00101,43.8,,,,0.038,,HD 209458,330.7916667,18.8844444,7.65,,,,,47,0.02,1.148,1.203,G0 V,4,6092,,
HD 210277 b,1.23,1.23,0,442.1,1.1,0.472,,0.051667,118.2,,,,0,,HD 210277,332.3708333,-7.5422222,6.63,,,,,21.29,0.19,1.09,1.1,G0,6.93,5532,IR Excess,
HD 210702 b,1.9,1.9,0,354.8,1.2,0.152,,0.020893,301,,,,0,,HD 210702,332.9625,16.0405556,5.93,,,,,56,0.12,1.68,5.1,K1IV,1.4,5010,,
HD 212771 b,2.3,2.3,0,373.3,1.22,0.111,,0.009313,55,,,,0,,HD 212771,336.7625,-17.2636111,7.6,,,,,131,-0.21,1.15,5,G8IV,6,5121,,
HD 213240 b,4.5,4.5,0,951,2.03,0.45,,0.049816,214,,,,0,,HD 213240,337.75,-49.4330556,6.8,,,,,40.75,0.16,1.22,1.5,G4 IV,5.11,5975,,
HD 216435 b,1.26,1.26,0,1311,2.56,0.07,,0.076877,100,,,,0,,HD 216435,343.4041667,-48.5980556,6.03,,,,,33.3,0.244,1.3,2,G0 V,5.27,5767,IR Excess,
HD 216437 b,1.82,1.82,0,1256,2.32,0.29,,0.087547,63,,,,0,,HD 216437,343.6625,-70.0736111,6.06,,,,,26.5,0.25,1.06,1.1,G4 IV-V,12.96,5636,,
HD 216770 b,0.65,0.65,0,118.45,0.46,0.37,,0.012105,281,,,,0,,HD 216770,343.9708333,-26.6586111,8.1,,,,,38,0.23,0.9,1,K1 V,3.6,5248,,
HD 217107 b,1.33,1.33,0,7.12689,0.073,0.132,,0.003702,22.7,,,,0,,HD 217107,344.5625,-2.395,6.16,,,,,19.72,0.37,1.02,1.08,G8 IV,7.32,5666,,
HD 217107 c,2.49,2.49,0,4210,5.27,0.517,,0.267241,198.6,,,,0,,HD 217107,344.5625,-2.395,6.16,,,,,19.72,0.37,1.02,1.08,G8 IV,7.32,5666,,
HD 217786 b,13,13,0,1319,2.38,0.4,,0.043431,100,,,,0,,HD 217786,345.7833333,0.4297222,7.8,,,,,54.8,-0.135,1.02,1.27,F8V,7.6,5966,,
HD 218566 b,0.21,0.21,0,225.7,0.6873,0.3,,0.022956,36,,,,0,,HD 218566,347.2958333,-2.2608333,8.63,,,,,29.94,0.38,0.85,0.86,K3V,8.5,4820,,
HD 219828 b,0.0661,0.0661,0,3.834887,0.045,0.059,,0.000641,255,,,,0,,HD 219828,349.6958333,18.6458333,8.04,,,,,81.1,0.19,1.24,1.7,G0IV,5.8,5891,,
HD 219828 c,15.1,15.1,0,4791,5.96,0.8118,,,145.77,,,,0,,HD 219828,349.6958333,18.6458333,8.04,,,,,81.1,0.19,1.24,1.7,G0IV,5.8,5891,,
HD 220074 b,11.1,11.1,0,672.1,1.6,0.14,,,323,,,,0,,HD 220074,350.0583,61.97,6.4,,,,,290.2,-0.25,1.2,49.67,M2III,4.5,3935,,
HD 222155 b,1.9,1.9,0,3999,5.1,0.16,,0.10387,137,,,,0,,HD 222155,354.5,48.9963889,7.1,,,,,49.1,-0.11,1.13,1.67,G2V,8.2,5765,,
HD 222582 b,7.75,7.75,0,572.38,1.35,0.725,,0.032143,319.01,,,,0,,HD 222582,355.4625,-5.9855556,7.7,,,,,42,-0.0229,0.99,1.15,G5,6.16,5662,,
HD 224538 b,5.97,5.97,0,1189.1,2.28,0.464,,,24,,,,0,,HD 224538,359.7166667,-61.58666668,8.06,,,,,77.76,0.27,1.54,1.34,F9IV/V,2,6097,,
HD 224693 b,0.71,0.71,0,26.73,0.233,0.05,,0.002479,6,,,,0,,HD 224693,359.975,-22.4280556,8.23,,,,,94,0.343,1.33,1.7,G2IV,2,6037,,
HD 23079 b,2.45,2.45,0,730.6,1.596,0.102,,0.043103,55,,,,0,,HD 23079,54.9291667,-52.9158333,7.1,,,,,34.8,-0.24,1.1,1.13,F8/G0 V,6.53,5848,,
HD 231701 b,1.08,1.08,0,141.89,0.53,0.096,,0.004889,54.4,,,,0,,HD 231701,293.0166667,16.4741667,8.97,,,,,108.4,0.07,1.14,1.35,F8V,4.9,6208,,
HD 23596 b,8.1,8.1,0,1565,2.88,0.292,,0.055385,274.1,,,,0,,HD 23596,57,40.5305556,7.24,,,,,52,0.32,1.27,2.09,F8,6.89,5888,,
HD 24064 b,9.4,9.4,0,555.6,1.29,0.35,,,250.8,,,,0,,HD 24064,59.15000001,74.08000001,6.75,,,,,264.4,-0.49,1,38,K0,9,4052.5,,
HD 25171 b,0.95,0.95,0,1845,3.02,0.08,,0.054909,96,,,,0,,HD 25171,58.9541667,-65.1866667,7.79,,,,,55,-0.11,1.09,1.18,F8V,2,6160,,
HD 27442 b,1.35,1.35,0,415.2,1.16,0.058,,0.064088,347,,,,0,,HD 27442,64.1208333,-59.3019444,4.44,,,,,18.1,0.22,1.2,6.6,K2 IV a,7.15,4749,,
HD 28185 b,5.7,5.7,0,383,1.03,0.07,,0.026142,351,,,,0,,HD 28185,66.6083333,-10.5505556,7.81,,,,,39.4,0.24,1.24,1.03,G5,5.36,5482,,
HD 285507 b,0.917,0.917,0,6.0881,0.0729,0.086,,,182,,,,0,,HD 285507,61.75416667,15.33500001,10.5,,,,,41.3,0.13,0.734,0.656,K5,0.625,4503,,
HD 28678 b,1.7,1.7,0,387.1,1.24,0.168,,0.005463,131,,,,0,,HD 28678,67.8541667,4.5752778,8.54,,,,,227,-0.11,1.74,6.2,K0D,1.8,5076,,
HD 30177 b,8.07,8.07,0,2532.5,3.58,0.18,,,32,,,,0,,HD 30177,70.475,-58.0205556,8.41,,,,,54.7,0.33,1.05,1.12,G8 V,11.6,5580,,
HD 30177 c,3,3,0,6921,6.99,0.35,,,11,,,,0,,HD 30177,70.475,-58.0205556,8.41,,,,,54.7,0.33,1.05,1.12,G8 V,11.6,5580,,
HD 30562 b,1.29,1.29,0,1157,2.3,0.76,,0.086792,81,,,,0,,HD 30562,72.15,-5.6741667,5.77,,,,,26.5,0.243,1.219,1.637,F8V,4,5861,,
HD 30669 b,0.47,0.47,0,1684,2.69,0.18,,,82,,,,0,,HD 30669,72.12083334,-28.41916668,9.11,,,,,57,0.13,0.92,0.91,G9V,4.8,5400,,
HD 30856 b,1.8,1.8,0,912,2,0.24,,0.016935,180,,,,0,,HD 30856,72.575,-24.3688889,8.07,,,,,118.1,-0.06,1.35,4.2,K0III,3.8,4982,,
HD 31253 b,0.5,0.5,0,466,1.26,0.3,,0.023411,244,,,,0,,HD 31253,73.6833333,12.3522222,7.13,,,,,53.82,0.16,1.23,1.71,F8,3,5960,,
HD 32518 b,3.04,3.04,0,157.54,0.59,0.01,,0.005026,306.11,,,,0,,HD 32518,77.4041667,69.6394444,6.44,,,,,117.4,-0.15,1.13,10.22,K1III,5.83,4580,,
HD 33142 b,1.3,1.3,0,326.6,1.06,0.22,,0.008413,138,,,,0,,HD 33142,76.9,-13.9863889,8.13,,,,,126,0.05,1.48,4.2,K0III,3,5052,,
HD 33283 b,0.33,0.33,0.99,18.1801,0.168,0.458,,0.001953,156,,,,0,,HD 33283,77.0041667,-26.7972222,8.05,,,,,86,0.366,1.24,1.2,G3V,3.2,5995,,
HD 33564 b,9.1,9.1,0,388,1.1,0.34,,0.052431,205,,,,0,,HD 33564,80.6375,79.2311111,5.08,,,,,20.98,-0.12,1.25,1.1,F6 V,3,6250,,
HD 34445 b,0.629,0.629,0,1056.7,2.075,0.014,,0.044516,115,,,,0,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,0.14,1.07,1.38,G0V,8.5,5836,,
HD 34445 c,0.168,0.168,0,214.67,0.7181,0.036,,,149,,,,0,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,0.14,1.07,1.38,G0V,8.5,5836,,
HD 34445 d,0.097,0.097,0,117.87,0.4817,0.027,,,246,,,,0,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,0.14,1.07,1.38,G0V,8.5,5836,,
HD 34445 e,0.0529,0.0529,0,49.175,0.2687,0.09,,,304,,,,0,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,0.14,1.07,1.38,G0V,8.5,5836,,
HD 34445 f,0.119,0.119,0,676.8,1.543,0.031,,,212,,,,0,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,0.14,1.07,1.38,G0V,8.5,5836,,
HD 34445 g,0.38,0.38,0,5700,6.36,0.032,,,235,,,,0,,HD 34445,79.4208333,7.3533333,7.31,,,,,46.5,0.14,1.07,1.38,G0V,8.5,5836,,
HD 3651 b,0.231,0.229,0,62.218,0.295,0.596,83,0.025818,242.5,,,,0,,HD 3651,9.8375,21.2502778,5.8,,,,,11,0.05,0.79,0.947,K0 V,5.13,5173,,
HD 3651 c,0.09,0.09,0,31,0.186,0.04,,,55,,,,0,,HD 3651,9.8375,21.2502778,5.8,,,,,11,0.05,0.79,0.947,K0 V,5.13,5173,,
HD 37124 b,0.675,0.675,0,154.378,0.53364,0.054,,0.016171,130,,,,0,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37124 c,0.652,0.652,0,885.5,1.71,0.125,,0.051818,53,,,,0,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37124 d,0.696,0.696,0,1862,2.807,0.16,,0.085061,360,,,,0,,HD 37124,84.2583333,20.7305556,7.68,,,,,33,-0.442,0.83,0.82,G4 V,3.33,5610,,
HD 37605 b,2.813,2.813,0,55.01307,0.2837,0.6767,,0.006613,220.86,,,,0,,HD 37605,85.0041667,6.0605556,8.66,,,,,44,0.34,1,0.9,K0V,7,5448,,
HD 37605 c,3.366,3.366,0,2720,3.814,0.013,,,221,,,,0,,HD 37605,85.0041667,6.0605556,8.66,,,,,44,0.34,1,0.9,K0V,7,5448,,
HD 38529 b,0.93,0.78,0,14.3104,0.131,0.248,57,0.003335,95.9,,,,0,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697,IR Excess,
HD 38529 c,23.7,17.7,0,2134.76,3.695,0.36,48.3,0.094068,22.52,,,,0,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697,IR Excess,
HD 39091 b,10.3,10.3,0,2049,3.28,0.61,,0.179039,330,,,,0,,HD 39091,84.2875,-80.4688889,5.67,,,,,18.32,0.09,1.1,2.1,G1 IV,3.83,5888,,
HD 40956 b,2.7,2.7,0,578.6,1.4,0.24,,,338.62,,,,0,,HD 40956,91.66250001,63.4538889,6.6,,,,,118,0.14,2,8.56,K0,1.35,4869,,
HD 40979 b,4.01,4.01,0,264.1,0.846,0.252,,0.024925,323.4,,,,0,,HD 40979,91.1208333,44.2602778,6.74,,,,,33.3,0.194,1.1,1.21,F8 V,1.48,6205,IR Excess,
HD 41248 c,0.0223,0.0223,0,13.365,0.107,0.0117,,,54,,,,0,,HD 41248,90.1375,-56.1619,8.82,,,,,52.38,-0.43,0.92,0.78,G2V,2,5713,,
HD 4203 b,1.82,1.82,0,437.05,1.164,0.52,,0.015019,328.03,,,,0,,HD 4203,11.1708333,20.4488889,8.68,,,,,77.5,0.453,1.13,1.33,G5,9.41,5701,,
HD 4208 b,0.804,0.804,0,828,1.65,0.052,,0.050147,345,,,,0,,HD 4208,11.1083333,-26.5155556,7.79,,,,,33.9,-0.284,0.87,0.85,G5 V,4.47,5571,,
HD 4308 b,0.0405,0.0405,0,15.609,0.118,0.27,,0.005388,210,,,,0,,HD 4308,11.1625,-65.6494444,6.54,,,,,21.9,-0.34,0.85,0.92,G5 V,7.1,5597,,
HD 4313 b,2.3,2.3,0,356,1.19,0.041,,0.008686,76,,,,0,,HD 4313,11.4166667,7.845,7.83,,,,,137,0.14,1.72,4.9,G5 D,2,5035,,
HD 45350 b,1.79,1.79,0,890.76,1.92,0.778,,0.039184,343.4,,,,0,,HD 45350,97.1875,38.9627778,7.88,,,,,49,0.29,1.02,1.27,G5 IV,5.59,5754,,
HD 46375 b,0.23,0.23,1.02,3.02358,0.041,0.0524,,0.001228,113.7,,,,0,,HD 46375,98.3,5.4627778,7.94,,,,,33.4,0.24,0.91,1,K1 IV,4.96,5199,IR Excess,
HD 47366 b,1.75,1.75,0,363.3,1.214,0.089,,,100,,,,0,,HD 47366,99.42083335,-12.98500002,6.11,,,,,80,-0.02,1.81,7.3,K1III,1.61,4866,,
HD 47366 c,1.86,1.86,0,684.7,1.853,0.278,,,132,,,,0,,HD 47366,99.42083335,-12.98500002,6.11,,,,,80,-0.02,1.81,7.3,K1III,1.61,4866,,
HD 47536 b,5,5,0,430,1.61,0.2,,0.013266,260.8,,,,0,,HD 47536,99.4458333,-32.3397222,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380,,
HD 49674 b,0.1,0.1,0.98,4.94739,0.058,0.0495,,0.001425,263.9,,,,0,,HD 49674,102.875,40.8675,8.1,,,,,40.7,0.25,1.07,0.94,G5 V,2.38,5482,,
HD 50499 b,1.71,1.71,0,2482.7,3.86,0.23,,0.081676,262,,,,0,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,0.23,1.27,1.38,G IV,6,5902,IR Excess,
HD 50554 b,5.16,5.16,0,1293,2.41,0.5,,0.077667,355.7,,,,0,,HD 50554,103.675,24.2455556,6.86,,,,,31.03,-0.07,1.04,1.11,F8,4.58,5902,IR Excess,
HD 52265 b,1.05,1.05,0,119.6,0.5,0.35,,0.017857,211,,,,0,,HD 52265,105.075,-5.3669444,6.3,,,,,28,0.21,1.2,1.25,G0 V,4.88,6159,IR Excess,
HD 52265 c,0.35,0.35,0,59.9,0.316,0.05,,,358,,,,0,,HD 52265,105.075,-5.3669444,6.3,,,,,28,0.21,1.2,1.25,G0 V,4.88,6159,IR Excess,
HD 5319 b,1.94,1.94,0,675,1.75,0.12,,0.0175,76,,,,0,,HD 5319,13.7541667,0.7894444,8.05,,,,,100,0.15,1.56,3.26,G5IV,2.4,5052,,
HD 5319 c,1.15,1.15,0,886,2.071,0.15,,,252,,,,0,,HD 5319,13.7541667,0.7894444,8.05,,,,,100,0.15,1.56,3.26,G5IV,2.4,5052,,
HD 5583 b,5.78,5.78,0,139.35,0.53,0.076,,,12,,,,0,,HD 5583,14.48750002,34.98555558,7.6,,,,,221,-0.5,1.01,9.09,K0,7.4,4830,,
HD 564 b,0.33,0.33,0,492.3,1.2,0.096,,,314,,,,0,,HD 564,2.470833351,-50.26777778,8.29,,,,,54,0.13,0.92,1.01,G3V,5.5,5902,,
HD 5891 b,7.6,7.6,0,177.11,0.76,0.066,,0.003028,360,,,,0,,HD 5891,15.1375,20.2925,8.25,,,,,251,-0.02,1.91,8.7,G5D,1.5,4907,,
HD 6434 b,0.39,0.39,0,21.998,0.14,0.17,,0.003472,156,,,,0,,HD 6434,16.1666667,-39.4880556,7.72,,,,,40.32,-0.52,0.79,0.57,G3 IV,3.8,5835,,
HD 66141 b,6,6,0,480.5,1.2,0.07,,,22.1,,,,0,,HD 66141,120.5667,2.3344,4.39,,,,,80.9,-0.32,1.1,21.4,K2III,6.84,4305,,
HD 67087 b,3.06,3.06,0,352.2,1.08,0.17,,,284,,,,0,,HD 67087,121.9166667,31.5513889,8.05,,,,,88.8,0.25,1.36,1.55,F8 V,1.45,6330,,
HD 67087 c,4.85,4.85,0,2374,3.86,0.76,,,255,,,,0,,HD 67087,121.9166667,31.5513889,8.05,,,,,88.8,0.25,1.36,1.55,F8 V,1.45,6330,,
HD 68402 b,3.07,3.07,0,1103,2.18,0.03,,,341,,,,0,,HD 68402,121.35,-74.41055557,9.11,,,,,78,0.29,1.12,1.02,G5IV/V,2,5950,,
